messup_type,messup_prob,entropy_mean,entropy_min,entropy_max,perplexity_mean,perplexity_min,perplexity_max
character,0.0,4.747830945558377,4.747830945558377,4.747830945558377,26.868259177620114,26.868259177620114,26.868259177620114
character,1e-05,4.74771182112168,4.747587951770265,4.747796199591923,26.86604076505493,26.86373412547998,26.867612088412976
character,0.0001,4.746895248999014,4.7466662435906875,4.747200646064727,26.85083892365767,26.84657691971887,26.85652325919384
character,0.001,4.7382511991094685,4.736907205758305,4.739110579233642,26.69044268462023,26.665587441564174,26.70634389793559
character,0.01,4.6581428396786455,4.655832200022488,4.660712595310665,25.24881474638167,25.20839219291679,25.293812354173056
character,0.05,4.336964415307164,4.334520375552728,4.339747306481703,20.209556754136145,20.17533013102757,20.248558580930087
character,0.1,4.009074595548222,4.003593999186806,4.013968437147944,16.100992965486082,16.039908415144563,16.15566730880703
word,0.0,4.747830945558377,4.747830945558377,4.747830945558377,26.868259177620114,26.868259177620114,26.868259177620114
word,1e-05,4.747817580507374,4.747761585746187,4.747872015884386,26.868010278767873,26.866967475242877,26.869024068216905
word,0.0001,4.747757785717636,4.7476087882908695,4.747864509674422,26.866896750320524,26.86412211516313,26.868884271512947
word,0.001,4.7470695033988735,4.746727647892731,4.747481056852172,26.85408238357443,26.847719593917926,26.86174376008998
word,0.01,4.739222303586763,4.737809577135863,4.740582010083204,26.708417598550255,26.68227134838171,26.733596077791358
word,0.05,4.698993892777226,4.69691122479825,4.701762279097213,25.973970077400036,25.936487804101635,26.02384589278968
word,0.1,4.638169173409364,4.633841550413742,4.642131299518176,24.90168074401169,24.827060458710562,24.970127790754663
